userA,userB,score
ko910493,cdpicker,0.0302376
godswd,gogodddd,0.0302333
ps124125288,godswd,0.0301854
cccooler,yofa,0.0301724
cccooler,studentkeich,0.0301724
cccooler,klexwind,0.0301724
cocoken,klm,0.0301205
Xavier114,emou        ,0.0300664
cocoken,gca00631,0.03
Puppy0919,YSJ543,0.0299833
Verola,laker020,0.0299401
sunglasses,kazeki,0.0299065
BRANDIO,DickMartin,0.0298778
cccooler,cdpicker,0.0298507
cafeole,cccooler,0.0298507
doremido,kazeki,0.0298079
cafeole,Xavier114,0.0297465
thebest5566,msn13141314,0.029703
bbbyy,msn13141314,0.029703
cccooler,s9899653,0.0296804
Towlie,Depend1227,0.0296804
klm,gogodddd,0.029563
cdpicker,ccpz,0.0295567
kuoly1,EZILI,0.0295203
kuoly1,duane,0.0294901
vaude,wty,0.0294785
vaude,Verola,0.029471
crusoe,SeaWolf,0.0294324
gunagulu,klm,0.0294118
BRANDIO,klm,0.0294118
Verola,drsharp,0.0293399
vaude,GV13,0.0292135
Kuwano,cdpicker,0.0291734
wachiapp,sowhat7511,0.0291262
cccooler,klm,0.0290698
Vinnie0605,Handway,0.029052
redsuck,wachiapp,0.0289855
studentkeich,klm,0.0289256
klm,emou        ,0.0289256
cn12242,klm,0.0287253
ps124125288,msn13141314,0.0286962
kuoly1,kevin31a2,0.0286953
yfefey,Kuwano,0.0286169
zxcvbn208,EZILI,0.0285714
ycb401,EZILI,0.0285714
wangman,EZILI,0.0285714
typedevil,satoyama,0.0285714
thebest5566,EZILI,0.0285714
sunglasses,EZILI,0.0285714
jiajiaWeng,EZILI,0.0285714
hertzianwave,EZILI,0.0285714
answer1115,EZILI,0.0285714
Towlie,gogodddd,0.0285714
EZILI,myanko,0.0285714
EZILI,freshmanxp,0.0285714
ps124125288,Towlie,0.0285249
hadeshell,thebest5566,0.028481
NWAHSEF,klm,0.0283019
studentkeich,kazeki,0.028291
Towlie,kazeki,0.0281969
backfire,moprince,0.028169
Allenguy,thebest5566,0.028169
Allenguy,EZILI,0.028169
hadeshell,klm,0.028028
gn02519719,gogodddd,0.0280172
Depend1227,gogodddd,0.0280172
klm,kazeki,0.0280128
kazeki,frice,0.0280022
yofa,Towlie,0.028
DickMartin,klm,0.0279829
yfefey,power1849e,0.027933
yfefey,klm,0.027933
Vinnie0605,gca00631,0.0278571
funkie,Towlie,0.0278293
wty,klm,0.0277778
jiajiaWeng,cccooler,0.0277778
fleeaaa,cccooler,0.0277778
cccooler,iversona,0.0277778
cccooler,bbbyy,0.0277778
cccooler,answer1115,0.0277778
balanceCIH,wty,0.0277314
sunglasses,kevin31a2,0.0277136
fleeaaa,Xavier114,0.0276846
Vinnie0605,klm,0.0276596
Puppy0919,wachiapp,0.0275229
Puppy0919,jo3pcafe,0.0275229
kuoly1,klm,0.0273973
answer1115,cdpicker,0.0273973
gn02519719,godswd,0.0273438
hadeshell,ccpz,0.0273286
balanceCIH,msn13141314,0.0272431
ps124125288,DickMartin,0.0271697
Puppy0919,klm,0.0270588
redsuck,Depend1227,0.0270552
q076262018,DickMartin,0.027027
nuiman,DickMartin,0.027027
DickMartin,myanko,0.027027
gn02519719,devil0915,0.026971
Puppy0919,Shigeru777,0.0269542
yfefey,sinceremusic,0.0269058
gunagulu,gogodddd,0.0269058
Vinnie0605,Towlie,0.0268595
gn02519719,Xavier114,0.0268081
ccpz,YSJ543,0.0267261
gogodddd,kazeki,0.0267107
fkhope,matrix4096,0.0266836
GV13,laker020,0.0266667
kuoly1,Towlie,0.0266223
cocoken,redsuck,0.0265252
devil0915,kirakira520,0.026455
xul4m4vu6666,balanceCIH,0.0263158
thebest5566,klm,0.0263158
sunglasses,klm,0.0263158
iversona,klm,0.0263158
eject5566,klm,0.0263158
drsharp,klm,0.0263158
kirakira520,Handway,0.0262037
Puppy0919,frice,0.0261438
thebest5566,kazeki,0.0260708
fleeaaa,kazeki,0.0260708
cyndimax,kazeki,0.0260708
balanceCIH,ticketwoon,0.0259865
cafeole,kazeki,0.0259416
power1849e,Cervelo1995,0.0258879
fkhope,GV13,0.0258303
Puppy0919,ticketwoon,0.0257143
devil0915,redsuck,0.0256901
answer1115,Towlie,0.025641
cn12242,kirakira520,0.0255754
devil0915,yofa,0.0255474
SeaWolf,gogodddd,0.0255414
vaude,hadeshell,0.0255319
cocoken,Puppy0919,0.0253807
Depend1227,Cervelo1995,0.0253492
wty,Depend1227,0.0253411
satoyama,wachiapp,0.0253165
cp109,crusoe,0.025286
cafeole,devil0915,0.0252765
power1849e,bbbyy,0.0252366
bbbyy,klm,0.0252366
ko910493,balanceCIH,0.0252101
sunglasses,duane,0.0251572
ko910493,cn12242,0.0251256
typedevil,kevin31a2,0.0251177
Xavier114,drsharp,0.0251046
gogodddd,Cervelo1995,0.0250557
Puppy0919,gogodddd,0.025
GV13,Depend1227,0.0249281
laker020,Handway,0.0248963
cp109,EZILI,0.0248756
ticketwoon,Handway,0.0248665
cn12242,emou        ,0.0246914
wachiapp,bbbyy,0.0245902
yfefey,ps124125288,0.0245787
ps124125288,kazeki,0.0245686
Puppy0919,studentkeich,0.0245614
cafeole,balanceCIH,0.0245399
balanceCIH,cdpicker,0.0245399
cn12242,yfefey,0.0244609
cocoken,GV13,0.0244499
balanceCIH,s9899653,0.0244055
typedevil,sowhat7511,0.0243902
iversona,gogodddd,0.0243902
ko910493,DickMartin,0.0243865
matrix4096,klexwind,0.0243478
Puppy0919,cafeole,0.0243161
vaude,ccpz,0.0242991
yfefey,cccooler,0.0242718
drsharp,Cervelo1995,0.0242393
Puppy0919,s9899653,0.024186
Puppy0919,doremido,0.0241287
fkhope,Handway,0.024126
cccooler,gca00631,0.0241255
duane,power1849e,0.0240843
devil0915,DickMartin,0.024045
redsuck,msn13141314,0.0240055
wty,ccpz,0.0239234
Vinnie0605,balanceCIH,0.0238824
msn13141314,YSJ543,0.0238152
yfefey,NWAHSEF,0.0237342
wty,doremido,0.023622
klexwind,GV13,0.0236088
cn12242,kuoly1,0.0235467
bbbyy,Towlie,0.0235415
q076262018,redsuck,0.0235294
devil0915,thebest5566,0.0235294
yfefey,balanceCIH,0.0233957
duane,wachiapp,0.0233463
fkhope,msn13141314,0.0233333
Depend1227,kazeki,0.0233089
doremido,GV13,0.023166
bbbyy,Depend1227,0.0231317
klm,YSJ543,0.0230548
devil0915,Cervelo1995,0.0229591
balanceCIH,thebest5566,0.0229008
balanceCIH,bbbyy,0.0229008
vaude,godswd,0.0228311
cn12242,thebest5566,0.0227273
cn12242,freshmanxp,0.0227273
cn12242,drsharp,0.0227273
cn12242,EZILI,0.0227273
Puppy0919,sunglasses,0.0227273
Puppy0919,q076262018,0.0227273
Puppy0919,freshmanxp,0.0227273
Puppy0919,fleeaaa,0.0227273
Puppy0919,eject5566,0.0227273
Puppy0919,drsharp,0.0227273
Puppy0919,bbbyy,0.0227273
BRANDIO,satoyama,0.0227273
Verola,kuoly1,0.022638
sunglasses,Xavier114,0.0225376
kuoly1,GV13,0.0225194
zxcvbn208,matrix4096,0.0223881
matrix4096,ycb401,0.0223881
matrix4096,wangman,0.0223881
matrix4096,myanko,0.0223881
matrix4096,jiajiaWeng,0.0223881
matrix4096,answer1115,0.0223881
cocoken,cp109,0.0223464
vaude,Xavier114,0.0222241
wty,thebest5566,0.0222222
jo3pcafe,ccpz,0.0222222
ccpz,wachiapp,0.0222222
ccpz,laker020,0.0222222
vaude,kazeki,0.0221759
EZILI,gca00631,0.0221239
klexwind,Handway,0.022077
michael2341,msn13141314,0.0220751
cocoken,msn13141314,0.0220751
hadeshell,answer1115,0.0220126
hadeshell,EZILI,0.0220126
bbbyy,emou        ,0.0220126
ko910493,typedevil,0.021978
ccpz,kazeki,0.0219707
duane,freshmanxp,0.0219436
cocoken,Verola,0.0218103
zxcvbn208,GV13,0.0217391
ycb401,GV13,0.0217391
wangman,GV13,0.0217391
sunglasses,GV13,0.0217391
jiajiaWeng,GV13,0.0217391
answer1115,GV13,0.0217391
Shigeru777,ccpz,0.0217391
GV13,myanko,0.0217391
gn02519719,Cervelo1995,0.0217352
Kuwano,kazeki,0.0216867
hadeshell,Depend1227,0.0216607
BRANDIO,msn13141314,0.0216216
Towlie,YSJ543,0.0214552
power1849e,godswd,0.0214018
cccooler,msn13141314,0.0214018
Xavier114,wachiapp,0.0213487
vaude,ps124125288,0.0213465
studentkeich,msn13141314,0.021309
wachiapp,Handway,0.021264
duane,kirakira520,0.0212615
vaude,Cervelo1995,0.0212094
ccpz,frice,0.0210526
hadeshell,ps124125288,0.0208478
Verola,wachiapp,0.0207715
ticketwoon,ccpz,0.0206897
sunglasses,satoyama,0.0206186
satoyama,drsharp,0.0206186
nuiman,satoyama,0.0206186
hertzianwave,satoyama,0.0206186
duane,emou        ,0.0204778
lucaswhite,bbbyy,0.0204082
edcqaz,bbbyy,0.0204082
cyndimax,bbbyy,0.0204082
bbbyy,badboyman,0.0204082
bbbyy,alice9031,0.0204082
sinceremusic,kazeki,0.0203704
sunglasses,Handway,0.0203488
myanko,Handway,0.0203488
hertzianwave,Handway,0.0203488
matrix4096,devil0915,0.0202831
yfefey,YSJ543,0.0202812
yfefey,Depend1227,0.0202729
matrix4096,emou        ,0.0202079
Verola,typedevil,0.0200334
hertzianwave,Cervelo1995,0.0200308
vaude,cp109,0.0200103
power1849e,sinple,0.02
cocoken,yfefey,0.0199005
matrix4096,doremido,0.0198238
gca00631,kirakira520,0.019802
ccpz,emou        ,0.0197183
sunglasses,msn13141314,0.0196078
sowhat7511,gogodddd,0.0196078
q076262018,msn13141314,0.0196078
nuiman,msn13141314,0.0196078
myanko,msn13141314,0.0196078
eject5566,msn13141314,0.0196078
drsharp,msn13141314,0.0196078
hertzianwave,DickMartin,0.0195122
hadeshell,kuoly1,0.0195043
laker020,sinple,0.0194805
ko910493,jo3pcafe,0.0194805
duane,laker020,0.0193798
ps124125288,Xavier114,0.0192539
yfefey,studentkeich,0.019244
funkie,yfefey,0.0191388
answer1115,Xavier114,0.0191348
ko910493,SeaWolf,0.0190045
cocoken,Cervelo1995,0.0189742
ps124125288,moprince,0.0189149
balanceCIH,klm,0.0189125
fkhope,ko910493,0.0188679
NWAHSEF,gca00631,0.0187696
typedevil,godswd,0.0187354
doremido,Xavier114,0.0185749
vaude,Allenguy,0.0185185
balanceCIH,wachiapp,0.0184049
balanceCIH,jo3pcafe,0.0184049
matrix4096,wachiapp,0.0182094
gn02519719,ps124125288,0.0182073
Puppy0919,yfefey,0.0181998
q076262018,ccpz,0.0181818
hertzianwave,ccpz,0.0181818
ccpz,freshmanxp,0.0181818
ccpz,bbbyy,0.0181818
chehsien    ,gca00631,0.0181269
Verola,doremido,0.0180258
balanceCIH,Shigeru777,0.018018
gn02519719,hadeshell,0.0179856
cocoken,ps124125288,0.0178571
typedevil,Handway,0.0178394
hertzianwave,sowhat7511,0.0177515
michael2341,moprince,0.0177305
kirakira520,moprince,0.0177305
sinple,gogodddd,0.0177196
matrix4096,ps124125288,0.017696
thebest5566,gca00631,0.0176211
iversona,gca00631,0.0176211
hertzianwave,gca00631,0.0176211
ps124125288,gogodddd,0.0175707
ko910493,ps124125288,0.0175439
ps124125288,satoyama,0.0174927
balanceCIH,frice,0.0174672
gogodddd,moprince,0.0174242
sinple,emou        ,0.0174129
cccooler,ps124125288,0.017316
devil0915,ps124125288,0.0173049
emou        ,Handway,0.0172646
ko910493,klexwind,0.0172414
ps124125288,ccpz,0.0171429
funkie,ps124125288,0.0171429
devil0915,moprince,0.0171408
devil0915,duane,0.0170735
DickMartin,EZILI,0.0170316
gn02519719,cp109,0.0170009
cp109,Depend1227,0.0170009
yao60301    ,Allenguy,0.0169492
cdpicker,power1849e,0.0169492
doremido,Handway,0.0169463
NWAHSEF,ps124125288,0.0169173
Verola,thebest5566,0.0169082
laker020,Cervelo1995,0.0168469
gn02519719,kazeki,0.0168448
thebest5566,godswd,0.016835
iversona,godswd,0.016835
Vinnie0605,ps124125288,0.0165816
power1849e,gca00631,0.0165631
godswd,laker020,0.0165517
cocoken,kazeki,0.0165289
cdpicker,laker020,0.0164835
cccooler,balanceCIH,0.0164609
devil0915,balanceCIH,0.0164508
ps124125288,kuoly1,0.016444
ko910493,kuoly1,0.016444
balanceCIH,studentkeich,0.0163934
Puppy0919,ps124125288,0.0162659
typedevil,redsuck,0.016129
redsuck,j74127412,0.016129
freshmanxp,sinple,0.016129
eject5566,sinple,0.016129
drsharp,sinple,0.016129
NWAHSEF,balanceCIH,0.0161002
Verola,ps124125288,0.015983
zxcvbn208,ko910493,0.015873
ps124125288,thebest5566,0.015873
ps124125288,EZILI,0.015873
ko910493,ycb401,0.015873
ko910493,wangman,0.015873
ko910493,thebest5566,0.015873
ko910493,sunglasses,0.015873
ko910493,myanko,0.015873
ko910493,jiajiaWeng,0.015873
Allenguy,Depend1227,0.015873
hadeshell,power1849e,0.0158259
Janel,Cervelo1995,0.0157575
thebest5566,Xavier114,0.0157546
eject5566,Xavier114,0.0157546
DickMartin,ccpz,0.0157508
Verola,emou        ,0.0157068
vaude,redsuck,0.0156627
zxcvbn208,moprince,0.015625
ycb401,moprince,0.015625
wangman,moprince,0.015625
sunglasses,hadeshell,0.015625
q076262018,hadeshell,0.015625
nuiman,moprince,0.015625
jiajiaWeng,moprince,0.015625
hadeshell,eject5566,0.015625
eject5566,moprince,0.015625
drsharp,moprince,0.015625
Allenguy,kirakira520,0.0155763
emou        ,Cervelo1995,0.01551
matrix4096,typedevil,0.0153453
kirakira520,kevin31a2,0.0153218
cp109,kuoly1,0.0153208
power1849e,YSJ543,0.0152526
hertzianwave,balanceCIH,0.0151515
fleeaaa,balanceCIH,0.0151515
yfefey,gn02519719,0.015128
Allenguy,klexwind,0.0150538
frice,Handway,0.0150313
typedevil,wty,0.0149254
DickMartin,wachiapp,0.0149105
wachiapp,YSJ543,0.0148515
laker020,YSJ543,0.0148515
thebest5566,Cervelo1995,0.0148186
typedevil,GV13,0.0148148
sunglasses,cp109,0.0147783
Allenguy,doremido,0.0147783
power1849e,sowhat7511,0.0147601
hertzianwave,kazeki,0.014733
redsuck,klm,0.0147059
power1849e,redsuck,0.0147059
thebest5566,DickMartin,0.0145631
Janel,frice,0.0145455
q076262018,Handway,0.0144509
SeaWolf,klm,0.0144404
yfefey,devil0915,0.0144142
cdpicker,doremido,0.014377
kuoly1,Allenguy,0.0143756
laker020,sowhat7511,0.0143541
fkhope,Verola,0.0142857
BRANDIO,Handway,0.0142819
cn12242,power1849e,0.0141593
cdpicker,gca00631,0.014126
Janel,kirakira520,0.0141243
j74127412,s9899653,0.0140845
yofa,Handway,0.0140814
hadeshell,kirakira520,0.0140548
doremido,gca00631,0.0140114
Depend1227,YSJ543,0.0139485
DickMartin,Depend1227,0.0139186
kuoly1,godswd,0.0139161
sunglasses,Allenguy,0.0138889
jiajiaWeng,Allenguy,0.0138889
answer1115,Allenguy,0.0138889
Allenguy,iversona,0.0138889
Allenguy,freshmanxp,0.0138889
Allenguy,drsharp,0.0138889
hadeshell,gogodddd,0.0138242
cn12242,laker020,0.0137615
kirakira520,YSJ543,0.0136986
hertzianwave,kevin31a2,0.0136674
kuoly1,gca00631,0.0136248
Janel,ccpz,0.0135993
hadeshell,klexwind,0.0135593
zxcvbn208,cdpicker,0.0135135
sunglasses,cdpicker,0.0135135
jiajiaWeng,cdpicker,0.0135135
hertzianwave,cdpicker,0.0135135
eject5566,cdpicker,0.0135135
cyndimax,cdpicker,0.0135135
cdpicker,ycb401,0.0135135
cdpicker,wangman,0.0135135
cdpicker,thebest5566,0.0135135
cdpicker,sinceremusic,0.0135135
cdpicker,EZILI,0.0135135
ko910493,YSJ543,0.0134745
devil0915,frice,0.013468
typedevil,msn13141314,0.0134228
sunglasses,godswd,0.0134228
eject5566,godswd,0.0134228
answer1115,godswd,0.0134228
gn02519719,redsuck,0.013347
wty,laker020,0.0133333
devil0915,YSJ543,0.0133031
yfefey,thebest5566,0.0132743
YSJ543,emou        ,0.0132576
sunglasses,gca00631,0.0131579
gca00631,freshmanxp,0.0131579
answer1115,gca00631,0.0131579
wachiapp,Cervelo1995,0.0130543
michael2341,Handway,0.0129324
power1849e,s9899653,0.0129032
klm,s9899653,0.0129032
redsuck,gogodddd,0.0128779
cn12242,Depend1227,0.0128713
power1849e,satoyama,0.0128617
ps124125288,redsuck,0.0128582
cocoken,SeaWolf,0.0128205
devil0915,sowhat7511,0.0127961
sowhat7511,emou        ,0.0127505
devil0915,cccooler,0.0126662
devil0915,klexwind,0.0126126
wachiapp,s9899653,0.0125523
s9899653,laker020,0.0125523
funkie,devil0915,0.0125418
doremido,sowhat7511,0.0125174
gn02519719,wty,0.012512
satoyama,laker020,0.0125
matrix4096,kirakira520,0.0124585
cn12242,ps124125288,0.0124069
devil0915,doremido,0.0123796
cn12242,BRANDIO,0.0123711
wachiapp,godswd,0.0123626
EZILI,YSJ543,0.0122699
matrix4096,gogodddd,0.0122579
DickMartin,power1849e,0.0122465
doremido,kevin31a2,0.012087
ps124125288,wty,0.0120815
q076262018,Verola,0.0120192
jiajiaWeng,Verola,0.0120192
Verola,myanko,0.0120192
Verola,answer1115,0.0120192
typedevil,gca00631,0.012012
Towlie,s9899653,0.0119854
devil0915,Janel,0.0119464
wachiapp,msn13141314,0.0119048
laker020,msn13141314,0.0119048
jo3pcafe,msn13141314,0.0119048
GV13,gogodddd,0.0118863
Janel,Handway,0.0118412
gunagulu,GV13,0.0118343
s9899653,Depend1227,0.0117647
freshmanxp,sowhat7511,0.0117647
drsharp,sowhat7511,0.0117647
vaude,yfefey,0.011654
sunglasses,redsuck,0.0116279
redsuck,EZILI,0.0116279
q076262018,devil0915,0.0116279
jiajiaWeng,devil0915,0.0116279
eject5566,redsuck,0.0116279
devil0915,iversona,0.0116279
answer1115,redsuck,0.0116279
cn12242,Janel,0.011546
nuiman,Handway,0.0115274
hadeshell,laker020,0.0114796
thebest5566,SeaWolf,0.0113636
hertzianwave,SeaWolf,0.0113636
eject5566,SeaWolf,0.0113636
ps124125288,s9899653,0.0113526
ko910493,s9899653,0.0113526
satoyama,gogodddd,0.0112856
wachiapp,kazeki,0.011169
s9899653,emou        ,0.0111643
fkhope,hadeshell,0.0111111
ccpz,s9899653,0.0111029
satoyama,emou        ,0.0110759
ticketwoon,msn13141314,0.0110701
zxcvbn208,wty,0.010989
wty,ycb401,0.010989
wty,wangman,0.010989
wty,sinceremusic,0.010989
wty,freshmanxp,0.010989
wty,drsharp,0.010989
sunglasses,wty,0.010989
jiajiaWeng,wty,0.010989
hertzianwave,wty,0.010989
eject5566,wty,0.010989
answer1115,wty,0.010989
godswd,emou        ,0.0109148
hertzianwave,GV13,0.0107527
GV13,freshmanxp,0.0107527
GV13,drsharp,0.0107527
cyndimax,Xavier114,0.0107261
Xavier114,sinceremusic,0.0107261
Xavier114,freshmanxp,0.0107261
yfefey,wachiapp,0.0106952
BRANDIO,Verola,0.010568
yofa,msn13141314,0.0105422
msn13141314,emou        ,0.0105422
Kuwano,Xavier114,0.0105304
DickMartin,emou        ,0.0105066
Janel,satoyama,0.0104859
yfefey,Shigeru777,0.0104712
cafeole,msn13141314,0.0104302
doremido,msn13141314,0.0103448
duane,gogodddd,0.0103402
EZILI,s9899653,0.0103093
DickMartin,doremido,0.0103063
eject5566,satoyama,0.0102041
typedevil,Xavier114,0.0101637
gca00631,frice,0.0101138
godswd,freshmanxp,0.0100334
godswd,drsharp,0.0100334
hadeshell,doremido,0.00994109
hertzianwave,Xavier114,0.00989283
chehsien    ,Handway,0.00983284
freshmanxp,msn13141314,0.00970874
gunagulu,gca00631,0.00960769
sunglasses,Verola,0.00959233
nuiman,Verola,0.00959233
hertzianwave,Verola,0.00959233
Verola,iversona,0.00959233
yfefey,emou        ,0.00953029
yofa,gca00631,0.00947226
gca00631,emou        ,0.00947226
balanceCIH,power1849e,0.00936768
jiajiaWeng,hadeshell,0.00931677
hadeshell,myanko,0.00931677
matrix4096,power1849e,0.00928613
yfefey,Vinnie0605,0.00918403
freshmanxp,kazeki,0.00915751
balanceCIH,laker020,0.00911854
freshmanxp,kevin31a2,0.00907029
Janel,gca00631,0.00897253
yao60301    ,DickMartin,0.00889328
DickMartin,laker020,0.00889328
yfefey,winginsleep,0.00881057
yfefey,eject5566,0.00881057
yfefey,drsharp,0.00881057
yfefey,barton5614,0.00881057
typedevil,duane,0.0087146
sunglasses,Cervelo1995,0.00863382
zxcvbn208,Handway,0.00862069
ycb401,Handway,0.00862069
wangman,Handway,0.00862069
jiajiaWeng,Handway,0.00862069
freshmanxp,Handway,0.00862069
typedevil,Cervelo1995,0.00833623
gn02519719,DickMartin,0.00830494
wachiapp,kevin31a2,0.00826446
ps124125288,balanceCIH,0.00826446
laker020,kevin31a2,0.00826446
typedevil,YSJ543,0.00823045
balanceCIH,emou        ,0.00813008
matrix4096,BRANDIO,0.00810263
balanceCIH,ccpz,0.00808625
michael2341,Verola,0.00806885
balanceCIH,doremido,0.0079858
Xavier114,j74127412,0.00788732
typedevil,SeaWolf,0.00787402
kuoly1,balanceCIH,0.00777454
vaude,SeaWolf,0.00764256
xul4m4vu6666,yfefey,0.00757576
matrix4096,Janel,0.0075576
doremido,Cervelo1995,0.00755441
balanceCIH,EZILI,0.0075188
godswd,kirakira520,0.00751315
matrix4096,lucaswhite,0.00735294
matrix4096,freshmanxp,0.00735294
matrix4096,edcqaz,0.00735294
matrix4096,cyndimax,0.00735294
matrix4096,badboyman,0.00735294
matrix4096,alice9031,0.00735294
klexwind,kevin31a2,0.00735037
lucaswhite,kazeki,0.00731261
kazeki,badboyman,0.00731261
edcqaz,kazeki,0.00731261
alice9031,kazeki,0.00731261
klexwind,godswd,0.00725013
Verola,eject5566,0.00717703
drsharp,Handway,0.0071736
gn02519719,YSJ543,0.00692595
jiajiaWeng,kevin31a2,0.00678733
eject5566,kevin31a2,0.00678733
answer1115,kevin31a2,0.00678733
hadeshell,emou        ,0.00673401
ps124125288,YSJ543,0.00669216
typedevil,DickMartin,0.0066778
jiajiaWeng,godswd,0.00666667
hertzianwave,godswd,0.00666667
duane,doremido,0.00660066
Verola,j74127412,0.00658979
klexwind,YSJ543,0.00658514
gn02519719,SeaWolf,0.00649675
SeaWolf,Depend1227,0.00649675
vaude,DickMartin,0.00648379
SeaWolf,kirakira520,0.00636943
gunagulu,SeaWolf,0.00623701
zxcvbn208,hadeshell,0.00619195
hadeshell,ycb401,0.00619195
hadeshell,wangman,0.00619195
eject5566,duane,0.00617284
answer1115,duane,0.00617284
klexwind,SeaWolf,0.00614574
SeaWolf,emou        ,0.00614574
ccpz,SeaWolf,0.00610998
jiajiaWeng,YSJ543,0.00609756
iversona,YSJ543,0.00609756
hertzianwave,YSJ543,0.00609756
freshmanxp,YSJ543,0.00609756
answer1115,YSJ543,0.00609756
answer1115,Cervelo1995,0.00607903
Janel,sowhat7511,0.00600557
cp109,laker020,0.006
yfefey,chehsien    ,0.00595238
emou        ,kazeki,0.00593053
kuoly1,SeaWolf,0.00585652
iversona,sowhat7511,0.00584795
eject5566,sowhat7511,0.00584795
jiajiaWeng,Xavier114,0.00574713
jiajiaWeng,SeaWolf,0.00564972
iversona,SeaWolf,0.00564972
answer1115,SeaWolf,0.00564972
SeaWolf,EZILI,0.00564972
power1849e,kevin31a2,0.00564772
jiajiaWeng,Cervelo1995,0.00556962
freshmanxp,Cervelo1995,0.00556962
cp109,kirakira520,0.00549451
eject5566,kazeki,0.00547445
cocoken,DickMartin,0.00541419
cp109,gogodddd,0.00540541
cp109,BRANDIO,0.00538117
yfefey,jo3pcafe,0.00531915
wachiapp,gca00631,0.00530973
jo3pcafe,gca00631,0.00530973
gca00631,laker020,0.00530973
cp109,klexwind,0.00530303
cp109,emou        ,0.00530303
cp109,ccpz,0.00527241
Shigeru777,gca00631,0.00519481
Shigeru777,Handway,0.00512033
eject5566,Cervelo1995,0.00506073
yfefey,frice,0.00505051
ticketwoon,gca00631,0.00494506
Verola,Janel,0.00490519
emou        ,kevin31a2,0.00488827
q076262018,cp109,0.00487805
jiajiaWeng,cp109,0.00487805
cp109,iversona,0.00487805
cp109,eject5566,0.00487805
cp109,drsharp,0.00487805
cp109,answer1115,0.00487805
zxcvbn208,Verola,0.00477327
Verola,ycb401,0.00477327
Verola,wangman,0.00477327
Verola,sinceremusic,0.00477327
yfefey,yofa,0.00474255
klexwind,gca00631,0.0047138
yfefey,cafeole,0.00469484
cafeole,gca00631,0.00466472
gca00631,s9899653,0.00463872
Janel,kevin31a2,0.00463565
godswd,j74127412,0.00461894
power1849e,kazeki,0.0045623
zxcvbn208,Cervelo1995,0.00455235
ycb401,Cervelo1995,0.00455235
wangman,Cervelo1995,0.00455235
iversona,kevin31a2,0.00451467
matrix4096,yao60301    ,0.00449102
gunagulu,Cervelo1995,0.00444486
yfefey,lucaswhite,0.00438596
yfefey,iversona,0.00438596
yfefey,hertzianwave,0.00438596
yfefey,fleeaaa,0.00438596
yfefey,edcqaz,0.00438596
yfefey,badboyman,0.00438596
yfefey,alice9031,0.00438596
jiajiaWeng,gca00631,0.00434783
gca00631,sinceremusic,0.00434783
gca00631,drsharp,0.00434783
gca00631,bbbyy,0.00434783
fleeaaa,gca00631,0.00434783
hadeshell,j74127412,0.00429185
fleeaaa,Handway,0.00429185
iversona,Xavier114,0.00409836
matrix4096,gunagulu,0.00403497
fkhope,godswd,0.00395704
matrix4096,sinceremusic,0.003663
matrix4096,nuiman,0.003663
matrix4096,iversona,0.003663
matrix4096,hertzianwave,0.003663
matrix4096,eject5566,0.003663
drsharp,kazeki,0.00364299
jo3pcafe,Handway,0.0034823
michael2341,hadeshell,0.00347705
Janel,godswd,0.00341581
hadeshell,BRANDIO,0.00340522
duane,klexwind,0.0033557
zxcvbn208,godswd,0.00332226
ycb401,godswd,0.00332226
wangman,godswd,0.00332226
godswd,myanko,0.00332226
Janel,duane,0.00316676
studentkeich,Handway,0.00309529
hertzianwave,hadeshell,0.00308642
hadeshell,sinceremusic,0.00308642
hadeshell,nuiman,0.00308642
hadeshell,iversona,0.00308642
hadeshell,freshmanxp,0.00308642
jiajiaWeng,duane,0.00307692
hertzianwave,duane,0.00307692
duane,iversona,0.00307692
cafeole,Handway,0.00306337
Kuwano,Handway,0.003039
yao60301    ,Verola,0.00291545
sinceremusic,Handway,0.00285714
fkhope,kevin31a2,0.00265756
DickMartin,gogodddd,0.0026562
gunagulu,Verola,0.00262123
Janel,Xavier114,0.00252153
xul4m4vu6666,Handway,0.00250376
gogodddd,kevin31a2,0.00248273
zxcvbn208,Xavier114,0.00245499
ycb401,Xavier114,0.00245499
winginsleep,Xavier114,0.00245499
wangman,Xavier114,0.00245499
barton5614,Xavier114,0.00245499
sunglasses,DickMartin,0.00239808
DickMartin,drsharp,0.00239808
Kuwano,kevin31a2,0.00239425
backfire,Handway,0.00239091
Verola,freshmanxp,0.00238095
zxcvbn208,kevin31a2,0.00225225
ycb401,kevin31a2,0.00225225
wangman,kevin31a2,0.00225225
q076262018,kevin31a2,0.00225225
myanko,kevin31a2,0.00225225
drsharp,kevin31a2,0.00225225
iversona,Cervelo1995,0.00201816
gunagulu,kazeki,0.00199667
j74127412,Handway,0.00195122
Janel,kazeki,0.00186703
iversona,kazeki,0.00181818
lucaswhite,Cervelo1995,0.00151286
edcqaz,Cervelo1995,0.00151286
cyndimax,Cervelo1995,0.00151286
badboyman,Cervelo1995,0.00151286
alice9031,Cervelo1995,0.00151286
j74127412,Cervelo1995,0.00137979
gunagulu,Xavier114,0.0008978
backfire,Cervelo1995,0.00084513
lucaswhite,Xavier114,0.000816993
Xavier114,edcqaz,0.000816993
Xavier114,badboyman,0.000816993
Xavier114,alice9031,0.000816993
yao60301    ,Cervelo1995,0.000613999
