userA,userB,score
EZILI,sowhat7511,0.0690608
kuoly1,thebest5566,0.0689655
klm,laker020,0.0689655
cccooler,Shigeru777,0.0689655
cocoken,devil0915,0.0688705
ccpz,godswd,0.0688424
satoyama,frice,0.06875
cn12242,frice,0.0687285
yofa,Shigeru777,0.0686275
satoyama,studentkeich,0.0685619
DickMartin,msn13141314,0.0684959
hadeshell,chehsien    ,0.0684932
cn12242,YSJ543,0.0683884
cafeole,bbbyy,0.0683761
balanceCIH,Allenguy,0.0683611
SeaWolf,msn13141314,0.0683331
Verola,jo3pcafe,0.068323
SeaWolf,YSJ543,0.0682731
funkie,Shigeru777,0.0681818
chehsien    ,sinple,0.0681818
GV13,bbbyy,0.0681818
cafeole,Verola,0.0680967
crusoe,satoyama,0.0680934
power1849e,Towlie,0.0680851
crusoe,EZILI,0.0680628
cocoken,gn02519719,0.0680628
fkhope,Cervelo1995,0.0679982
doremido,yofa,0.0679612
vaude,matrix4096,0.0679534
devil0915,ccpz,0.0679012
yfefey,msn13141314,0.0678378
cafeole,Shigeru777,0.0677966
matrix4096,EZILI,0.0677636
Puppy0919,Xavier114,0.0675927
NWAHSEF,Shigeru777,0.0671642
EZILI,Depend1227,0.0670103
sinple,kazeki,0.066958
matrix4096,jo3pcafe,0.0667727
ticketwoon,EZILI,0.0666667
chehsien    ,SeaWolf,0.0666667
balanceCIH,sowhat7511,0.0666667
balanceCIH,kevin31a2,0.0666667
Kuwano,doremido,0.0666667
Allenguy,kazeki,0.0665032
studentkeich,moprince,0.0664962
sinple,Handway,0.0664381
balanceCIH,Cervelo1995,0.0663161
balanceCIH,sinple,0.0662285
balanceCIH,satoyama,0.0661717
Towlie,sinple,0.0661578
YSJ543,moprince,0.0661471
funkie,redsuck,0.0661376
ko910493,gca00631,0.0661337
cccooler,duane,0.0660817
SeaWolf,satoyama,0.0660793
yfefey,hadeshell,0.0660405
s9899653,kazeki,0.0659846
Allenguy,YSJ543,0.0659808
wty,Shigeru777,0.0659341
wachiapp,Towlie,0.0659341
cn12242,SeaWolf,0.0659311
gn02519719,cccooler,0.0658228
Vinnie0605,crusoe,0.0658228
xul4m4vu6666,redsuck,0.0657895
cocoken,EZILI,0.0657895
